"","center","Beta","mu","eta","gamma","N","loglik"
"1",1,0,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"2",1,1.72413793103448e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"3",1,3.44827586206897e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"4",1,5.17241379310345e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"5",1,6.89655172413793e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"6",1,8.62068965517241e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"7",1,1.03448275862069e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"8",1,1.20689655172414e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"9",1,1.37931034482759e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"10",1,1.55172413793103e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"11",1,1.72413793103448e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"12",1,1.89655172413793e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"13",1,2.06896551724138e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"14",1,2.24137931034483e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"15",1,2.41379310344828e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2324.02522253817
"16",1,2.58620689655172e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2324.02522253817
"17",1,2.75862068965517e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"18",1,2.93103448275862e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"19",1,3.10344827586207e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2322.15342036127
"20",1,3.27586206896552e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"21",1,3.44827586206897e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"22",1,3.62068965517241e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"23",1,3.79310344827586e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"24",1,3.96551724137931e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"25",1,4.13793103448276e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"26",1,4.31034482758621e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"27",1,4.48275862068965e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"28",1,4.6551724137931e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"29",1,4.82758620689655e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"30",1,5e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"31",1,0,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"32",1,1.72413793103448e-08,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"33",1,3.44827586206897e-08,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
