"","center","Beta","mu","eta","gamma","N","loglik"
"1",1,0,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"2",1,1.72413793103448e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"3",1,3.44827586206897e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"4",1,5.17241379310345e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"5",1,6.89655172413793e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"6",1,8.62068965517241e-08,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"7",1,1.03448275862069e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"8",1,1.20689655172414e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"9",1,1.37931034482759e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"10",1,1.55172413793103e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"11",1,1.72413793103448e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"12",1,1.89655172413793e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"13",1,2.06896551724138e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"14",1,2.24137931034483e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"15",1,2.41379310344828e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"16",1,2.58620689655172e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"17",1,2.75862068965517e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"18",1,2.93103448275862e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
"19",1,3.10344827586207e-07,0.5,5.19402271865537e-05,0.166666666666667,192529,-1722.33364955955
