"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"42",192529,8.27586206896552e-08,0,0.75,1,1,192529,NA
"43",1.947758e-07,9.6551724137931e-08,0,0.75,1,1,192529,NA
"44",0.166666666666667,9.6551724137931e-08,0,0.75,1,1,192529,NA
"45",0.75,9.6551724137931e-08,0,0.75,1,1,192529,NA
"46",1,9.6551724137931e-08,0,0.75,1,1,192529,NA
"47",1,9.6551724137931e-08,0,0.75,1,1,192529,NA
"48",192529,9.6551724137931e-08,0,0.75,1,1,192529,NA
"49",1.947758e-07,1.10344827586207e-07,0,0.75,1,1,192529,NA
"50",0.166666666666667,1.10344827586207e-07,0,0.75,1,1,192529,NA
"51",0.75,1.10344827586207e-07,0,0.75,1,1,192529,NA
"52",1,1.10344827586207e-07,0,0.75,1,1,192529,NA
"53",1,1.10344827586207e-07,0,0.75,1,1,192529,NA
"54",192529,1.10344827586207e-07,0,0.75,1,1,192529,NA
"55",1.947758e-07,1.24137931034483e-07,0,0.75,1,1,192529,NA
"56",0.166666666666667,1.24137931034483e-07,0,0.75,1,1,192529,NA
"57",0.75,1.24137931034483e-07,0,0.75,1,1,192529,NA
"58",1,1.24137931034483e-07,0,0.75,1,1,192529,NA
"59",1,1.24137931034483e-07,0,0.75,1,1,192529,NA
"60",192529,1.24137931034483e-07,0,0.75,1,1,192529,NA
"61",1.947758e-07,1.37931034482759e-07,0,0.75,1,1,192529,NA
"62",0.166666666666667,1.37931034482759e-07,0,0.75,1,1,192529,NA
"63",0.75,1.37931034482759e-07,0,0.75,1,1,192529,NA
"64",1,1.37931034482759e-07,0,0.75,1,1,192529,NA
"65",1,1.37931034482759e-07,0,0.75,1,1,192529,NA
"66",192529,1.37931034482759e-07,0,0.75,1,1,192529,NA
"67",1.947758e-07,1.51724137931034e-07,0,0.75,1,1,192529,NA
"68",0.166666666666667,1.51724137931034e-07,0,0.75,1,1,192529,NA
"69",0.75,1.51724137931034e-07,0,0.75,1,1,192529,NA
"70",1,1.51724137931034e-07,0,0.75,1,1,192529,NA
"71",1,1.51724137931034e-07,0,0.75,1,1,192529,NA
"72",192529,1.51724137931034e-07,0,0.75,1,1,192529,NA
"73",1.947758e-07,1.6551724137931e-07,0,0.75,1,1,192529,NA
"74",0.166666666666667,1.6551724137931e-07,0,0.75,1,1,192529,NA
"75",0.75,1.6551724137931e-07,0,0.75,1,1,192529,NA
"76",1,1.6551724137931e-07,0,0.75,1,1,192529,NA
"77",1,1.6551724137931e-07,0,0.75,1,1,192529,NA
"78",192529,1.6551724137931e-07,0,0.75,1,1,192529,NA
"79",1.947758e-07,1.79310344827586e-07,0,0.75,1,1,192529,NA
"80",0.166666666666667,1.79310344827586e-07,0,0.75,1,1,192529,NA
"81",0.75,1.79310344827586e-07,0,0.75,1,1,192529,NA
"82",1,1.79310344827586e-07,0,0.75,1,1,192529,NA
"83",1,1.79310344827586e-07,0,0.75,1,1,192529,NA
"84",192529,1.79310344827586e-07,0,0.75,1,1,192529,NA
"85",1.947758e-07,1.93103448275862e-07,0,0.75,1,1,192529,NA
"86",0.166666666666667,1.93103448275862e-07,0,0.75,1,1,192529,NA
"87",0.75,1.93103448275862e-07,0,0.75,1,1,192529,NA
"88",1,1.93103448275862e-07,0,0.75,1,1,192529,NA
"89",1,1.93103448275862e-07,0,0.75,1,1,192529,NA
"90",192529,1.93103448275862e-07,0,0.75,1,1,192529,NA
"91",1.947758e-07,2.06896551724138e-07,0,0.75,1,1,192529,NA
"92",0.166666666666667,2.06896551724138e-07,0,0.75,1,1,192529,NA
"93",0.75,2.06896551724138e-07,0,0.75,1,1,192529,NA
"94",1,2.06896551724138e-07,0,0.75,1,1,192529,NA
"95",1,2.06896551724138e-07,0,0.75,1,1,192529,NA
"96",192529,2.06896551724138e-07,0,0.75,1,1,192529,NA
"97",1.947758e-07,2.20689655172414e-07,0,0.75,1,1,192529,NA
"98",0.166666666666667,2.20689655172414e-07,0,0.75,1,1,192529,NA
"99",0.75,2.20689655172414e-07,0,0.75,1,1,192529,NA
"100",1,2.20689655172414e-07,0,0.75,1,1,192529,NA
"101",1,2.20689655172414e-07,0,0.75,1,1,192529,NA
"102",192529,2.20689655172414e-07,0,0.75,1,1,192529,NA
"103",1.947758e-07,2.3448275862069e-07,0,0.75,1,1,192529,NA
"104",0.166666666666667,2.3448275862069e-07,0,0.75,1,1,192529,NA
"105",0.75,2.3448275862069e-07,0,0.75,1,1,192529,NA
"106",1,2.3448275862069e-07,0,0.75,1,1,192529,NA
"107",1,2.3448275862069e-07,0,0.75,1,1,192529,NA
"108",192529,2.3448275862069e-07,0,0.75,1,1,192529,NA
"109",1.947758e-07,2.48275862068965e-07,0,0.75,1,1,192529,NA
"110",0.166666666666667,2.48275862068965e-07,0,0.75,1,1,192529,NA
"111",0.75,2.48275862068965e-07,0,0.75,1,1,192529,NA
