"","loglik","log.prior","nfail","Beta","mu","eta","gamma","N"
"0",-2348.63679485393,0,60,-12.2726230528194,-0.122040063478446,-4.40478073103865,0.166666666666667,192529
"1",-2348.63679485393,0,60,-11.9598145086593,-0.0798135646163578,-3.84947120023058,0.166666666666667,192529
"2",-1710.30325941227,0,41,-13.0024515845281,-0.0367100140494209,-4.24923521930409,0.166666666666667,192529
"3",-608.428478568828,0,14,-13.7935165429618,-0.0204647195238443,-3.69775801713337,0.166666666666667,192529
"4",-409.490789589615,0,9,-15.2458660901527,-0.0701881993224245,-3.7985955984886,0.166666666666667,192529
"5",-344.422262051374,0,7,-16.1382204414141,-0.0414611269282282,-5.11819415471832,0.166666666666667,192529
"6",-334.834097395668,0,7,-14.9344134172452,-0.00636980692789538,-5.51729126088043,0.166666666666667,192529
"7",-315.99098183729,0,6,-16.3650741367599,-0.0324008479983172,-5.63893999357996,0.166666666666667,192529
"8",-305.085948019818,0,6,-16.9376206678217,0.107223841596641,-5.7663647468427,0.166666666666667,192529
"9",-305.085948019818,0,6,-16.9376206678217,0.107223841596641,-5.7663647468427,0.166666666666667,192529
"10",-305.085948019818,0,6,-16.9376206678217,0.107223841596641,-5.7663647468427,0.166666666666667,192529
"11",-305.085948019818,0,6,-16.9376206678217,0.107223841596641,-5.7663647468427,0.166666666666667,192529
"12",-288.279654582269,0,5,-15.5586663105533,0.203912554546022,-6.15458926412028,0.166666666666667,192529
"13",-271.33206238296,0,5,-15.6620613312998,0.258860495145765,-6.47661486983799,0.166666666666667,192529
"14",-271.33206238296,0,5,-15.6620613312998,0.258860495145765,-6.47661486983799,0.166666666666667,192529
"15",-271.33206238296,0,5,-15.6620613312998,0.258860495145765,-6.47661486983799,0.166666666666667,192529
"16",-239.01044397175,0,4,-15.5232811425863,0.186301516405325,-7.28956030707546,0.166666666666667,192529
"17",-230.421144849867,0,4,-15.0312977895088,0.132231872405779,-7.40659535991669,0.166666666666667,192529
"18",-215.974729998546,0,4,-14.5638862636096,0.220052514508147,-7.92489605088891,0.166666666666667,192529
"19",-215.974729998546,0,4,-14.5638862636096,0.220052514508147,-7.92489605088891,0.166666666666667,192529
"20",-215.974729998546,0,4,-14.5638862636096,0.220052514508147,-7.92489605088891,0.166666666666667,192529
"21",-209.916739112729,0,4,-13.4714368004701,0.139882748615584,-7.98627078192335,0.166666666666667,192529
"22",-203.968942869388,0,4,-14.0657590856519,0.164995598716102,-8.79366213327143,0.166666666666667,192529
"23",-203.968942869388,0,4,-14.0657590856519,0.164995598716102,-8.79366213327143,0.166666666666667,192529
"24",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"25",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"26",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"27",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"28",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"29",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"30",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"31",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"32",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"33",-198.569079346767,0,4,-13.6748391820329,0.180791497617043,-9.06045507623049,0.166666666666667,192529
"34",-170.32158338573,0,3,-12.6755474076326,0.0182882304755176,-8.94459005311788,0.166666666666667,192529
"35",-170.32158338573,0,3,-12.6755474076326,0.0182882304755176,-8.94459005311788,0.166666666666667,192529
"36",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"37",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"38",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"39",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"40",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"41",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"42",-164.666070194274,0,3,-13.3310935359619,0.0296808899625102,-8.65707688978731,0.166666666666667,192529
"43",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"44",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"45",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"46",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"47",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"48",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
