"month",".id","TRUE","reports","S","I","R","H"
1,"data",1,1,NA,NA,NA,NA
2,"data",2,2,NA,NA,NA,NA
3,"data",3,3,NA,NA,NA,NA
4,"data",4,4,NA,NA,NA,NA
5,"data",5,5,NA,NA,NA,NA
6,"data",6,6,NA,NA,NA,NA
7,"data",7,7,NA,NA,NA,NA
8,"data",8,8,NA,NA,NA,NA
9,"data",9,9,NA,NA,NA,NA
10,"data",10,10,NA,NA,NA,NA
11,"data",11,11,NA,NA,NA,NA
12,"data",12,12,NA,NA,NA,NA
13,"data",13,13,NA,NA,NA,NA
14,"data",14,14,NA,NA,NA,NA
15,"data",15,15,NA,NA,NA,NA
16,"data",16,16,NA,NA,NA,NA
17,"data",17,17,NA,NA,NA,NA
18,"data",18,18,NA,NA,NA,NA
19,"data",19,19,NA,NA,NA,NA
20,"data",20,20,NA,NA,NA,NA
21,"data",21,21,NA,NA,NA,NA
22,"data",22,22,NA,NA,NA,NA
23,"data",23,23,NA,NA,NA,NA
24,"data",24,24,NA,NA,NA,NA
25,"data",25,25,NA,NA,NA,NA
26,"data",26,26,NA,NA,NA,NA
27,"data",27,27,NA,NA,NA,NA
28,"data",28,28,NA,NA,NA,NA
29,"data",29,29,NA,NA,NA,NA
30,"data",30,30,NA,NA,NA,NA
31,"data",31,31,NA,NA,NA,NA
32,"data",32,32,NA,NA,NA,NA
33,"data",33,33,NA,NA,NA,NA
34,"data",34,34,NA,NA,NA,NA
35,"data",35,35,NA,NA,NA,NA
36,"data",36,36,NA,NA,NA,NA
37,"data",37,37,NA,NA,NA,NA
38,"data",38,38,NA,NA,NA,NA
39,"data",39,39,NA,NA,NA,NA
40,"data",40,40,NA,NA,NA,NA
41,"data",41,41,NA,NA,NA,NA
42,"data",42,42,NA,NA,NA,NA
43,"data",43,43,NA,NA,NA,NA
44,"data",44,44,NA,NA,NA,NA
45,"data",45,45,NA,NA,NA,NA
46,"data",46,46,NA,NA,NA,NA
47,"data",47,47,NA,NA,NA,NA
48,"data",48,48,NA,NA,NA,NA
49,"data",49,49,NA,NA,NA,NA
50,"data",50,50,NA,NA,NA,NA
51,"data",51,51,NA,NA,NA,NA
52,"data",52,52,NA,NA,NA,NA
53,"data",53,53,NA,NA,NA,NA
54,"data",54,54,NA,NA,NA,NA
55,"data",55,55,NA,NA,NA,NA
56,"data",56,56,NA,NA,NA,NA
57,"data",57,57,NA,NA,NA,NA
58,"data",58,58,NA,NA,NA,NA
59,"data",59,59,NA,NA,NA,NA
60,"data",60,60,NA,NA,NA,NA
1,"1",NA,18,192318,193,18,18
1,"2",NA,13,192321,195,13,13
1,"3",NA,11,192324,194,11,11
2,"1",NA,22,192312,180,37,22
2,"2",NA,7,192316,195,18,7
2,"3",NA,18,192315,187,27,18
3,"1",NA,13,192314,172,43,13
3,"2",NA,14,192308,192,29,14
3,"3",NA,15,192308,183,38,15
4,"1",NA,8,192314,170,45,8
4,"2",NA,22,192308,178,43,22
4,"3",NA,12,192308,176,45,12
5,"1",NA,16,192314,163,52,16
5,"2",NA,20,192312,162,55,20
5,"3",NA,11,192309,172,48,11
6,"1",NA,13,192324,154,51,13
6,"2",NA,15,192311,156,62,15
6,"3",NA,10,192311,167,51,10
7,"1",NA,12,192326,149,54,12
7,"2",NA,15,192320,142,67,15
7,"3",NA,18,192312,159,58,18
8,"1",NA,11,192331,145,53,11
8,"2",NA,13,192321,137,71,13
8,"3",NA,14,192315,150,64,14
9,"1",NA,6,192328,147,54,6
9,"2",NA,14,192328,126,75,14
9,"3",NA,8,192318,148,63,8
10,"1",NA,10,192327,141,61,10
10,"2",NA,15,192335,118,76,15
10,"3",NA,17,192327,135,67,17
11,"1",NA,13,192327,133,69,13
11,"2",NA,14,192347,108,74,14
11,"3",NA,9,192331,134,64,9
12,"1",NA,8,192337,131,61,8
12,"2",NA,8,192358,105,66,8
12,"3",NA,12,192341,126,62,12
13,"1",NA,10,192343,125,61,10
13,"2",NA,5,192363,104,62,5
13,"3",NA,14,192347,115,67,14
14,"1",NA,9,192350,120,59,9
14,"2",NA,6,192371,100,58,6
14,"3",NA,10,192356,109,64,10
15,"1",NA,8,192360,117,52,8
15,"2",NA,8,192376,99,54,8
15,"3",NA,12,192359,103,67,12
16,"1",NA,6,192364,117,48,6
16,"2",NA,10,192383,95,51,10
16,"3",NA,7,192369,99,61,7
17,"1",NA,7,192362,118,49,7
17,"2",NA,7,192379,97,53,7
17,"3",NA,9,192371,94,64,9
18,"1",NA,11,192370,110,49,11
18,"2",NA,11,192388,89,52,11
18,"3",NA,5,192379,92,58,5
19,"1",NA,8,192376,105,48,8
19,"2",NA,8,192393,82,54,8
19,"3",NA,9,192388,84,57,9
20,"1",NA,6,192379,103,47,6
20,"2",NA,4,192400,79,50,4
20,"3",NA,11,192390,78,61,11
21,"1",NA,9,192386,98,45,9
21,"2",NA,3,192410,76,43,3
21,"3",NA,13,192403,67,59,13
22,"1",NA,6,192389,93,47,6
22,"2",NA,5,192415,74,40,5
22,"3",NA,6,192409,63,57,6
23,"1",NA,8,192396,85,48,8
23,"2",NA,8,192419,68,42,8
23,"3",NA,8,192413,56,60,8
24,"1",NA,7,192399,81,49,7
24,"2",NA,6,192426,63,40,6
24,"3",NA,5,192422,52,55,5
25,"1",NA,7,192403,76,50,7
25,"2",NA,6,192431,59,39,6
25,"3",NA,4,192430,48,51,4
26,"1",NA,5,192411,74,44,5
26,"2",NA,7,192436,55,38,7
26,"3",NA,3,192438,46,45,3
27,"1",NA,3,192416,73,40,3
27,"2",NA,1,192441,55,33,1
27,"3",NA,5,192441,46,42,5
28,"1",NA,7,192422,67,40,7
28,"2",NA,4,192440,52,37,4
28,"3",NA,4,192450,44,35,4
29,"1",NA,3,192418,69,42,3
29,"2",NA,1,192438,57,34,1
29,"3",NA,2,192451,46,32,2
30,"1",NA,6,192424,68,37,6
30,"2",NA,5,192441,54,34,5
30,"3",NA,3,192454,44,31,3
31,"1",NA,2,192427,70,32,2
31,"2",NA,5,192445,51,33,5
31,"3",NA,3,192455,44,30,3
32,"1",NA,6,192431,65,33,6
32,"2",NA,3,192454,52,23,3
32,"3",NA,5,192456,42,31,5
33,"1",NA,3,192435,63,31,3
33,"2",NA,3,192453,52,24,3
33,"3",NA,2,192460,41,28,2
34,"1",NA,6,192437,58,34,6
34,"2",NA,4,192456,48,25,4
34,"3",NA,2,192461,41,27,2
35,"1",NA,4,192439,55,35,4
35,"2",NA,4,192457,47,25,4
35,"3",NA,5,192465,36,28,5
36,"1",NA,4,192439,58,32,4
36,"2",NA,4,192461,44,24,4
36,"3",NA,2,192468,34,27,2
37,"1",NA,2,192438,60,31,2
37,"2",NA,5,192461,42,26,5
37,"3",NA,0,192476,35,18,0
38,"1",NA,3,192435,64,30,3
38,"2",NA,7,192462,36,31,7
38,"3",NA,2,192478,34,17,2
39,"1",NA,5,192432,65,32,5
39,"2",NA,6,192466,33,30,6
39,"3",NA,4,192484,30,15,4
40,"1",NA,4,192433,64,32,4
40,"2",NA,1,192469,35,25,1
40,"3",NA,6,192487,24,18,6
41,"1",NA,6,192439,58,32,6
41,"2",NA,2,192471,35,23,2
41,"3",NA,0,192489,25,15,0
42,"1",NA,5,192440,54,35,5
42,"2",NA,1,192474,34,21,1
42,"3",NA,2,192489,24,16,2
43,"1",NA,4,192442,53,34,4
43,"2",NA,2,192478,33,18,2
43,"3",NA,2,192493,23,13,2
44,"1",NA,5,192446,49,34,5
44,"2",NA,5,192481,28,20,5
44,"3",NA,1,192496,22,11,1
45,"1",NA,2,192455,48,26,2
45,"2",NA,1,192484,27,18,1
45,"3",NA,2,192496,21,12,2
46,"1",NA,1,192458,48,23,1
46,"2",NA,2,192489,25,15,2
46,"3",NA,3,192497,19,13,3
47,"1",NA,4,192458,47,24,4
47,"2",NA,0,192491,25,13,0
47,"3",NA,3,192497,17,15,3
48,"1",NA,6,192457,43,29,6
48,"2",NA,2,192492,23,14,2
48,"3",NA,0,192499,19,11,0
49,"1",NA,1,192460,44,25,1
49,"2",NA,5,192494,18,17,5
49,"3",NA,2,192502,17,10,2
50,"1",NA,3,192466,43,20,3
50,"2",NA,1,192494,18,17,1
50,"3",NA,0,192503,18,8,0
51,"1",NA,5,192465,43,21,5
51,"2",NA,0,192496,19,14,0
51,"3",NA,1,192506,18,5,1
52,"1",NA,1,192464,47,18,1
52,"2",NA,2,192497,18,14,2
52,"3",NA,3,192505,16,8,3
53,"1",NA,6,192468,41,20,6
53,"2",NA,1,192501,17,11,1
53,"3",NA,1,192506,15,8,1
54,"1",NA,3,192470,39,20,3
54,"2",NA,3,192502,14,13,3
54,"3",NA,1,192509,15,5,1
55,"1",NA,3,192470,38,21,3
55,"2",NA,1,192503,13,13,1
55,"3",NA,0,192510,16,3,0
56,"1",NA,3,192471,37,21,3
56,"2",NA,1,192500,15,14,1
56,"3",NA,4,192510,12,7,4
57,"1",NA,1,192477,36,16,1
57,"2",NA,0,192501,15,13,0
57,"3",NA,0,192509,14,6,0
58,"1",NA,3,192480,34,15,3
58,"2",NA,4,192504,12,13,4
58,"3",NA,1,192511,13,5,1
59,"1",NA,0,192483,36,10,0
59,"2",NA,0,192506,12,11,0
59,"3",NA,2,192512,12,5,2
60,"1",NA,2,192484,36,9,2
60,"2",NA,2,192507,11,11,2
60,"3",NA,0,192512,13,4,0
